InvoiceNo,InvoiceDate,CustomerID,Country,ProductCategory,Quantity,UnitPrice
16789,08-Jan-2024,176.0, Germany, Books,4.0,24.73
20273,2023-07-29,859.0,australia ,Home & Kitchen,3.0,186.21
9075,04/06/2023,1181.0,germany, Books,1.0,15.11
17965,16/09/2023,960.0,USA,sports,1.0,287.42
10195,12/16/2024,325.0,INDIA ,Home & Kitchen,1.0,34.58
21297,22/12/2023,493.0,United Kingdom,Apparel,1.0,
13249,04/04/2024,548.0,france ,Beauty,7.0,19.22
10850,13/03/2023,715.0,France,Home & Kitchen,1.0,139.9
10226,2023-12-04,1191.0,australia ,home & kitchen,1.0,159.58
17224,2024-05-18,1110.0,Germany,home & kitchen,4.0,137.67
8887,02/18/2023,885.0,, Electronics,1.0,82.04
9521,01/13/2024,766.0, USA ,Electronics,3.0,215.26
12179,2023-02-16,113.0,Germany,Books,5.0,30.34
14865,07-Jul-2024,243.0,Australia,beauty ,6.0,22.52
24292,19/04/2023,110.0,australia ,Beauty,1.0,8.55
13288,13-Aug-2024,1067.0,Australia,Home & Kitchen,1.0,100.14
24790,27-Jun-2024,155.0,United Kingdom,apparel,4.0,
16582,07/12/2023,822.0,Canada, Books,1.0,36.47
21296,08/08/2024,251.0,germany,electronics,3.0,311.0
10043,03/18/2023,729.0,United States,Home and Kitchen ,1.0,132.69
8942,03/03/2023,1048.0,canada, Books,1.0,31.69
24345,2023-02-13,1069.0,Australia,SPORTS ,3.0,240.29
8166,2023-04-03,679.0,Australia,Books,2.0,17.9
10145,02/04/2024,469.0,canada, APPAREL,1.0,35.89
16492,29/08/2023,211.0,Australia, Books,4.0,7.34
10964,08/09/2023,282.0,INDIA ,Home and Kitchen ,2.0,114.06
13590,12/16/2023,936.0,canada,Home & Kitchen,5.0,140.12
7268,11/08/2023,44.0, USA ,SPORTS ,1.0,67.68
18048,03/08/2024,739.0,United Kingdom,Apparel,7.0,46.35
22066,08/04/2023,79.0,Australia,Sports,2.0,212.04
11053,05/09/2024,502.0,USA,Books,999.0,17.37
11979,07/12/2023,1192.0,uk, Books,4.0,18.32
8687,2023-07-14,702.0,Canada,Apparel,3.0,55.01
20499,08-Nov-2023,667.0,france ,beauty ,1.0,40.27
18769,09/16/2023,784.0,germany,sports,3.0,148.39
15073,02-Jan-2024,135.0,india,books,4.0,35.17
24968,04/02/2023,1011.0,Australia, APPAREL,3.0,94.51
10826,07/09/2023,879.0, USA ,ELECTRONICS,4.0,495.38
8705,09/19/2024,1167.0,Australia,ELECTRONICS,7.0,582.95
23296,2023-07-16,1060.0,USA, Books,1.0,45.31
22394,2023-01-05,674.0,U.K.,Beauty,4.0,46.81
12102,2024-02-16,917.0,United States,Sports,4.0,86.12
24914,21/03/2023,684.0,uk, APPAREL,1.0,54.49
19725,2023-05-24,1004.0,FRANCE,Home & Kitchen,1.0,129.39
8520,06/03/2023,636.0,france ,SPORTS ,1.0,94.32
20537,28/12/2024,1154.0,Australia,Sports,3.0,24.74
20791,13/02/2023,119.0,UK,sports,1.0,271.13
10395,09/20/2023,306.0,canada, Books,1.0,18.45
13584,04-Nov-2024,535.0,Canada,Electronics,4.0,514.99
15116,20/12/2024,565.0,U.S.A,Apparel,4.0,61.53
15388,12/27/2023,957.0,France,apparel,1.0,18.82
20189,17-Oct-2024,649.0,australia ,beauty ,5.0,58.78
17688,20-Dec-2024,234.0,UK,Books,3.0,38.7
12790,22-Jul-2023,418.0,FRANCE,Apparel,3.0,35.62
8972,08-Mar-2024,239.0,, Books,5.0,10.1
13207,2023-08-09,,U.K.,Electronics,1.0,189.71
14424,06/13/2024,454.0, Germany,beauty ,1.0,58.68
18195,2023-08-20,,USA,Apparel,5.0,25.08
22284,27-Jul-2024,50.0,Canada,Sports,1.0,203.08
19882,14/03/2023,116.0,France,Home and Kitchen ,5.0,187.58
7459,2023-07-30,563.0,Australia,beauty ,3.0,63.38
24294,26-Dec-2023,912.0,U.S.A,Apparel,1.0,118.0
13077,25/01/2023,659.0,INDIA ,sports,7.0,192.36
13493,12/01/2023,1153.0,U.K.,sports,5.0,244.24
14013,19-May-2023,487.0,Germany,Apparel,1.0,28.54
23507,09/10/2024,930.0, USA ,ELECTRONICS,4.0,592.04
19624,10/03/2023,372.0,Australia,Apparel,2.0,71.31
21272,10/21/2024,746.0,India,books,5.0,30.46
14401,08-Nov-2023,284.0,INDIA ,Home & Kitchen,3.0,149.66
18370,05/30/2023,928.0,USA,beauty ,2.0,13.57
24623,2023-04-11,662.0, USA ,books,2.0,11.53
7513,09-Sep-2023,247.0,France,electronics,4.0,121.94
10048,2023-11-24,801.0,Australia,sports,1.0,84.81
20817,02/04/2023,546.0,UK,electronics,1.0,122.54
10166,05/09/2023,416.0,,Sports,1.0,140.04
15501,16-Jun-2023,647.0,United States,beauty ,1.0,47.27
17839,12/06/2023,864.0,United States,sports,3.0,169.86
13159,29-Sep-2023,1066.0,Canada,books,4.0,
22051,05/04/2023,1005.0, Germany,SPORTS ,7.0,236.41
21086,10-Dec-2023,515.0,canada, APPAREL,1.0,69.61
7468,02-Feb-2024,378.0,australia , APPAREL,2.0,59.07
11062,06/29/2023,818.0,INDIA , Electronics,4.0,164.7
6148,17-Mar-2024,239.0,uk,Books,4.0,5.89
9326,11-Jul-2024,947.0,INDIA ,Apparel,4.0,59.63
10631,14-Jan-2023,511.0,france , Electronics,4.0,224.39
15194,2023-02-28,262.0,uk,Apparel,3.0,126.97
23703,2023-10-18,1037.0,uk,apparel,4.0,80.8
5876,18-Aug-2023,944.0,india,Home and Kitchen ,4.0,134.27
7715,2023-07-19,564.0,FRANCE,ELECTRONICS,5.0,295.01
10000,09/29/2024,863.0,australia , APPAREL,5.0,90.04
24956,14/06/2024,983.0,germany,sports,2.0,82.55
9983,23/01/2023,426.0,france ,sports,4.0,81.07
7725,14/12/2023,1068.0,United Kingdom,SPORTS ,7.0,19.67
12153,11/24/2024,538.0,uk,books,3.0,35.05
24269,13-Jan-2024,794.0,australia ,beauty ,1.0,53.27
10208,15-Jun-2024,573.0, Germany,ELECTRONICS,5.0,298.99
21832,04/16/2024,70.0,France, APPAREL,5.0,57.43
11259,25/02/2023,402.0, Germany,Beauty,1.0,26.3
22212,2024-03-26,698.0,Australia,beauty ,4.0,49.49
10372,17-Jun-2023,333.0,Australia,Electronics,,66.21
23641,10/20/2023,598.0, Germany,Home and Kitchen ,2.0,133.36
7560,03-Jul-2023,788.0,Australia,Apparel,2.0,94.11
15205,2024-08-23,524.0,FRANCE,sports,3.0,187.82
12349,09/09/2024,663.0,canada,SPORTS ,2.0,202.71
9848,05/02/2024,38.0,United Kingdom,home & kitchen,4.0,166.06
23706,2024-09-04,503.0,australia ,Apparel,6.0,66.49
15791,21/04/2023,1118.0,UK,SPORTS ,4.0,124.87
12662,02/16/2024,681.0,INDIA , Books,-5.0,9.8
15670,03/07/2023,1199.0,Canada,SPORTS ,7.0,112.37
7389,05/21/2023,333.0,australia ,Electronics,4.0,336.53
5504,13-Apr-2024,233.0,france ,ELECTRONICS,2.0,235.53
8801,09/30/2024,759.0,UK,beauty ,7.0,
7190,05/16/2023,1009.0,france ,Home and Kitchen ,5.0,86.61
7982,07/06/2024,188.0,France, Books,3.0,28.85
17286,02-Jul-2023,179.0,australia ,home & kitchen,2.0,160.2
9150,11/05/2023,858.0,France, APPAREL,2.0,106.23
17558,11/05/2024,799.0,United Kingdom, Electronics,5.0,262.98
17105,31-Aug-2024,662.0,United States,beauty ,,27.11
8636,30/04/2023,555.0,canada,Electronics,3.0,241.33
17530,23-Oct-2023,941.0,india,ELECTRONICS,2.0,252.82
8711,19/07/2023,729.0, USA ,Electronics,4.0,256.44
17420,03-Apr-2023,414.0,U.S.A,Apparel,2.0,102.56
23952,10/07/2023,580.0,germany,Beauty,4.0,57.37
16551,11/03/2023,581.0,United Kingdom,SPORTS ,3.0,114.39
17217,2023-06-01,953.0,usa, Electronics,5.0,128.66
20974,2023-04-08,156.0,Australia, Books,1.0,22.94
9473,12-Jan-2024,588.0,germany,ELECTRONICS,2.0,274.32
17051,19-Apr-2024,272.0,FRANCE,ELECTRONICS,1.0,117.43
17106,2023-08-05,613.0,FRANCE,Sports,3.0,103.01
16733,2024-11-11,440.0,Australia,ELECTRONICS,5.0,455.38
22033,2023-11-22,,India,books,1.0,8.51
15514,10/10/2023,1054.0,uk,sports,1.0,129.06
5439,24/09/2024,397.0,FRANCE,books,2.0,24.5
14533,29/06/2024,471.0,canada, Books,1.0,8.98
10720,10/11/2024,183.0,U.K.,books,1.0,20.57
9227,07/01/2024,600.0,USA,Books,3.0,11.71
20017,15-Sep-2024,997.0,France, APPAREL,5.0,21.47
21279,01-Apr-2023,642.0,australia ,electronics,,372.09
22625,16-Sep-2023,529.0,France, APPAREL,3.0,74.48
10378,20-Aug-2024,592.0,Canada,Books,1.0,22.42
22440,21-Dec-2023,252.0,Canada,Electronics,1.0,145.77
12661,24-Aug-2024,898.0,USA,books,1.0,38.14
24258,2023-12-06,297.0,canada,books,4.0,27.57
21812,08/02/2023,950.0,FRANCE,Electronics,2.0,348.68
13214,25/06/2024,96.0,Canada,beauty ,2.0,60.7
10749,15/05/2023,874.0,United States, Electronics,1.0,282.94
15282,11/14/2023,813.0,france ,beauty ,3.0,19.12
16579,2023-09-18,1.0,U.K.,beauty ,4.0,53.63
15422,2024-12-16,174.0,UK,Books,5.0,12.34
10761,28-Nov-2024,116.0,France,Home & Kitchen,1.0,41.95
6902,26/01/2024,160.0,uk,Beauty,2.0,58.24
10358,07/01/2023,677.0,FRANCE,Books,3.0,23.03
17308,20/09/2024,37.0,USA, APPAREL,4.0,89.16
6490,2024-11-21,918.0,Germany,apparel,5.0,51.38
16720,11/13/2023,602.0,france , Electronics,2.0,461.86
18151,21-Nov-2024,727.0,U.K.,books,5.0,11.88
14359,22/12/2023,1162.0,india,Sports,4.0,93.81
15353,21/08/2023,353.0,France,SPORTS ,4.0,60.08
19165,2024-04-08,924.0,U.K.,sports,3.0,37.09
14611,05/26/2024,632.0,United States,Sports,4.0,146.14
20144,06/10/2023,136.0,Australia,sports,1.0,151.31
10346,2023-10-20,814.0,france ,sports,4.0,51.43
9266,2024-02-02,426.0,france ,beauty ,4.0,31.86
10187,21-Jan-2023,697.0, USA ,apparel,3.0,124.16
24617,21-May-2023,265.0,canada,apparel,2.0,89.6
20270,08/11/2023,431.0,United Kingdom,Home & Kitchen,3.0,142.93
15615,2024-10-15,834.0,France, APPAREL,4.0,85.36
12709,24-May-2024,523.0,canada,Sports,3.0,62.17
22141,28-Mar-2024,905.0,australia ,beauty ,1.0,32.09
7580,04/04/2023,153.0,Australia,beauty ,4.0,
10558,23/06/2023,869.0,India, Books,1.0,30.48
8726,22/04/2023,1121.0,australia ,SPORTS ,3.0,35.49
24597,24-Oct-2023,417.0,INDIA ,Beauty,2.0,12.1
6035,03/12/2024,399.0,germany, APPAREL,1.0,17.41
5981,03/22/2024,278.0,usa, Books,4.0,41.11
19087,2023-04-30,990.0,Germany,SPORTS ,1.0,122.77
13518,2023-04-16,737.0,U.S.A,Electronics,1.0,286.44
6816,02/12/2023,210.0,France,sports,2.0,23.57
18554,14/06/2023,306.0,canada,books,2.0,
15560,2023-04-09,944.0,India,Home and Kitchen ,1.0,56.95
22191,28-Mar-2024,185.0,Canada,Home & Kitchen,6.0,41.82
11221,18-Apr-2023,1070.0,USA,SPORTS ,2.0,15.99
11836,2023-07-10,640.0,Canada,beauty ,3.0,31.29
18823,27/11/2023,1038.0,FRANCE,sports,2.0,172.19
15916,03/04/2023,260.0, USA ,apparel,1.0,47.24
23994,29-Aug-2023,1106.0,india, Electronics,2.0,380.04
10307,31-Dec-2023,399.0,germany,Books,2.0,8.07
15954,13-May-2024,445.0,france ,Home and Kitchen ,1.0,9999.99
12898,26/05/2024,676.0,U.K., APPAREL,,9999.99
10703,09/14/2024,757.0,Germany,beauty ,3.0,88.84
17556,25-Oct-2023,210.0,France,Books,4.0,19.5
18445,01/29/2024,684.0,U.K.,ELECTRONICS,1.0,507.72
23043,2024-06-25,1178.0,Canada,Beauty,3.0,23.12
5209,01/07/2023,781.0,france ,home & kitchen,3.0,211.04
9200,04/06/2024,948.0,germany, APPAREL,3.0,127.59
22103,05/07/2024,47.0,INDIA ,beauty ,1.0,68.5
5937,07/02/2023,1062.0,france , APPAREL,4.0,117.07
11389,01-Jun-2023,202.0,australia ,beauty ,7.0,50.95
11837,08-Feb-2023,340.0,United States, Books,7.0,32.53
5120,04-Jan-2023,397.0,france ,Books,4.0,26.21
22811,08/04/2023,97.0,india,beauty ,1.0,21.68
14991,2024-01-29,466.0,FRANCE, Electronics,3.0,212.41
12607,12/08/2023,887.0, USA ,Home & Kitchen,3.0,120.04
12291,26-Jun-2024,862.0,france ,sports,4.0,213.37
23330,2023-08-14,145.0,India,home & kitchen,1.0,50.04
12748,17-Sep-2023,440.0,Australia,electronics,4.0,404.23
17823,02-Dec-2023,1124.0,usa,Beauty,7.0,57.07
24002,09/09/2023,305.0,United Kingdom,Home and Kitchen ,4.0,168.76
10519,09/05/2023,915.0,canada,books,1.0,7.22
21181,20/01/2024,695.0,australia ,Books,1.0,39.99
13360,16-Jun-2024,618.0,germany,Beauty,3.0,78.6
16730,05/25/2023,574.0,Canada,books,1.0,9.69
19071,06-Jul-2023,592.0,Canada,books,2.0,10.38
19554,2023-12-21,1132.0,FRANCE,sports,3.0,17.69
9817,2023-01-13,455.0,germany,electronics,4.0,83.52
9744,01-Feb-2024,100.0,australia , APPAREL,1.0,49.71
12795,19/02/2024,220.0,canada,Home & Kitchen,3.0,123.21
7142,2024-07-24,127.0,canada,beauty ,6.0,0.0
7394,20/10/2023,373.0,Germany,Sports,1.0,179.47
8459,06/03/2023,152.0,United States, Books,1.0,30.51
23700,2023-09-04,1121.0,Australia,sports,1.0,84.68
19676,06/06/2023,411.0,United States,books,2.0,4.31
21950,10/05/2023,299.0,australia ,home & kitchen,5.0,75.22
24826,30/08/2024,89.0,France,Home & Kitchen,5.0,107.47
24468,2024-10-11,3.0,Germany,beauty ,6.0,36.24
15651,2023-06-08,492.0,Australia,Beauty,3.0,14.57
17219,2024-01-09,784.0,Germany,electronics,1.0,333.8
24908,11-Nov-2024,420.0,uk,home & kitchen,2.0,92.0
9915,08-Jun-2024,1156.0,canada, APPAREL,1.0,52.93
13414,10-Sep-2023,574.0,Canada, Books,1.0,30.58
15925,29-May-2023,1171.0,United Kingdom,electronics,2.0,449.58
13050,2023-03-07,11.0,Canada,sports,3.0,167.91
19242,2024-11-14,1068.0,uk,Home & Kitchen,6.0,178.45
23106,10/14/2023,606.0,U.S.A, APPAREL,2.0,83.71
18357,11-Jan-2023,628.0,INDIA ,SPORTS ,1.0,189.85
14729,18/11/2023,265.0,,apparel,3.0,88.19
24890,12/11/2024,810.0,Australia,ELECTRONICS,2.0,106.98
8617,26-Jun-2024,1068.0,United Kingdom,Sports,3.0,283.7
15347,2023-10-18,465.0, USA ,SPORTS ,3.0,180.02
22655,22-Apr-2024,825.0,canada,SPORTS ,5.0,169.73
11530,05/20/2024,1178.0,Canada,books,2.0,13.79
23535,03-Dec-2023,71.0,Australia, APPAREL,7.0,124.84
14836,2024-06-13,891.0, Germany,electronics,1.0,136.29
17567,23-Apr-2023,781.0,FRANCE,Home and Kitchen ,6.0,70.91
24095,05/23/2023,426.0,france ,Sports,4.0,205.58
11294,2023-11-02,767.0,Canada,beauty ,1.0,51.32
16472,03/12/2023,283.0,Germany, APPAREL,1.0,97.53
18703,02-Feb-2024,341.0,Australia,Beauty,3.0,30.35
12667,27/03/2024,216.0,, Electronics,1.0,79.76
12331,09/29/2024,128.0, USA ,SPORTS ,5.0,53.82
12902,03/13/2023,1126.0, Germany,sports,1.0,111.0
13100,08/09/2024,113.0, Germany,Sports,5.0,116.74
13586,06/08/2024,687.0, USA ,SPORTS ,1.0,159.99
12145,23/09/2024,441.0,uk,beauty ,4.0,36.64
5035,17/03/2023,736.0,india,Apparel,5.0,90.6
12899,2023-07-22,1014.0,Australia,Beauty,3.0,55.52
12201,10-Sep-2024,630.0,india,ELECTRONICS,1.0,552.48
14925,2024-04-14,157.0,usa,Books,6.0,7.17
18371,14/03/2023,479.0,USA,Electronics,1.0,233.58
6428,24/07/2023,327.0,France, Books,1.0,24.54
14676,12/03/2023,458.0,FRANCE,Home & Kitchen,1.0,87.46
16048,23/10/2023,4.0,INDIA ,Electronics,1.0,123.99
10287,26-Feb-2023,748.0,India,Electronics,6.0,660.59
10447,09/01/2023,412.0,australia ,sports,5.0,125.02
5409,05/16/2024,116.0,FRANCE,home & kitchen,2.0,22.61
21067,04-Nov-2023,145.0,India,Sports,3.0,
15147,06/24/2024,301.0,france ,Books,3.0,15.53
24519,08-Nov-2023,677.0,France,Books,4.0,12.56
11754,11/29/2024,510.0,canada,Books,0.0,21.06
13132,10/15/2023,186.0,FRANCE,Beauty,3.0,52.94
11187,09/08/2023,1005.0,Germany,Books,1.0,7.12
15181,06-Feb-2024,105.0,UK,Books,2.0,6.86
16681,12/04/2023,973.0,usa,Books,2.0,27.24
5352,12-Sep-2023,1015.0,Canada, Electronics,,174.81
18514,07/02/2024,655.0,Canada, APPAREL,3.0,76.87
15366,10/04/2023,939.0,Australia,beauty ,2.0,75.73
8303,06/02/2023,1169.0,U.S.A,sports,2.0,110.07
23597,09-Dec-2024,1114.0,France,home & kitchen,1.0,114.25
10136,24-Mar-2024,224.0,FRANCE,electronics,3.0,687.15
5219,07/23/2023,,Australia,Sports,3.0,43.89
12229,06/09/2023,195.0,australia ,SPORTS ,4.0,234.47
7352,16-Feb-2024,727.0,UK,Books,4.0,28.28
9016,12-Jun-2024,,UK, Books,1.0,11.87
15138,18/10/2024,673.0,India,apparel,7.0,115.68
20268,2024-09-08,794.0,Australia,Beauty,3.0,-10.0
24405,12/18/2023,604.0,Australia,SPORTS ,1.0,30.83
18455,16-May-2023,288.0,France,Home and Kitchen ,7.0,88.64
9195,30-Dec-2024,404.0,germany,Home and Kitchen ,5.0,
7782,09/07/2023,32.0,United Kingdom,Home and Kitchen ,1.0,22.83
16969,2023-09-03,1038.0,france ,SPORTS ,2.0,189.53
24611,19-Mar-2023,558.0,Australia,beauty ,4.0,61.68
11000,25-Jan-2024,784.0,Germany,books,1.0,13.69
6995,2023-06-12,880.0,usa,beauty ,1.0,19.37
10251,03-May-2024,759.0,U.K.,beauty ,7.0,91.04
21687,15/11/2024,982.0,USA,Home & Kitchen,6.0,146.31
24012,13-Nov-2024,359.0,Australia, APPAREL,3.0,96.12
5929,2023-12-28,241.0,India,SPORTS ,3.0,47.94
6511,2024-04-08,302.0,France,Home and Kitchen ,4.0,105.2
16277,03/02/2024,422.0,Canada,electronics,4.0,
8389,12/27/2023,400.0,USA, Books,6.0,9.29
13254,2024-09-11,955.0,usa,Electronics,4.0,326.85
5475,06-Dec-2024,1117.0,australia ,SPORTS ,3.0,106.51
8572,2023-01-25,82.0, Germany,Sports,3.0,78.09
19021,13/07/2024,434.0,Germany,beauty ,4.0,36.71
7790,22/06/2023,618.0,germany,Books,3.0,38.82
16451,09/20/2023,1046.0,U.S.A,Home and Kitchen ,1.0,125.37
14239,01-Jun-2023,484.0,Germany, Books,5.0,
19980,06/08/2023,1009.0,france ,Apparel,1.0,98.92
17148,2023-04-17,975.0,canada,Home & Kitchen,3.0,68.49
5607,20/06/2023,1165.0,india, Books,3.0,18.73
23237,06/06/2024,81.0,Canada,apparel,4.0,80.26
14407,26/07/2024,343.0,Australia,Apparel,2.0,47.87
14043,2023-12-27,467.0,canada,Apparel,3.0,89.05
23077,13/06/2024,1045.0,FRANCE,sports,6.0,41.24
19489,04/11/2023,214.0,FRANCE, APPAREL,1.0,109.36
8063,2023-07-26,543.0,Canada,Books,1.0,30.2
6289,01/24/2024,1115.0,United Kingdom,home & kitchen,999.0,50.9
21997,02/04/2024,289.0,Australia,Books,1.0,17.06
12133,2023-04-07,32.0,uk,ELECTRONICS,2.0,154.43
17086,19/03/2024,749.0,germany,books,3.0,15.27
19884,2023-10-23,110.0,australia ,Beauty,2.0,42.17
10859,16/10/2023,158.0,USA,Apparel,2.0,35.19
23684,2023-07-15,118.0,USA, APPAREL,1.0,62.44
11179,06/25/2023,1136.0,U.S.A,Apparel,1.0,
20964,07/05/2024,285.0,uk, APPAREL,1.0,117.37
11905,04-Jul-2023,913.0,Canada,Home & Kitchen,4.0,49.94
6476,21-Jun-2024,1186.0,Germany,Beauty,1.0,67.49
18663,06/13/2024,42.0,uk,books,3.0,40.41
21970,2023-03-25,49.0,germany,ELECTRONICS,3.0,94.08
20456,27/07/2024,816.0,Australia, Electronics,5.0,
15889,03-Jan-2024,1072.0,UK,SPORTS ,2.0,146.3
16679,28/03/2023,14.0,canada,SPORTS ,4.0,112.55
14648,10/10/2023,471.0,canada,books,4.0,24.97
18252,27/09/2023,1072.0,United Kingdom, Books,4.0,32.28
22283,2023-05-02,788.0,australia , APPAREL,5.0,47.31
23294,03/08/2023,441.0,uk,Home & Kitchen,2.0,105.93
17673,15-Aug-2023,917.0, USA ,Sports,1.0,103.82
6806,2024-08-06,888.0,Canada,Sports,5.0,99.43
12949,18/10/2023,399.0,Germany, Books,5.0,35.04
18896,03/12/2024,618.0,Germany,SPORTS ,3.0,64.07
7636,25/10/2023,1049.0, USA ,ELECTRONICS,2.0,233.02
13174,30/04/2024,951.0, Germany,sports,1.0,181.33
13157,2023-08-04,99.0,germany,Books,4.0,16.19
13575,10/24/2024,808.0,France, APPAREL,3.0,47.07
9986,25-Aug-2023,1046.0,USA,home & kitchen,4.0,34.02
20993,03-Apr-2023,231.0,UK,Books,1.0,4.69
19000,02-Jan-2024,295.0,canada, Books,3.0,18.3
8143,22-Feb-2023,603.0,germany,home & kitchen,2.0,49.5
11742,10/24/2023,526.0,United Kingdom,Home & Kitchen,3.0,186.6
23646,03/29/2024,629.0,canada, Electronics,4.0,483.7
21415,16/12/2023,847.0,United Kingdom,sports,5.0,204.73
23264,08/06/2023,899.0,Canada,apparel,1.0,32.52
21047,11/11/2023,20.0,Australia,Beauty,2.0,19.07
6329,05-May-2023,1078.0,UK,Beauty,5.0,12.4
18637,2023-07-17,388.0,india,home & kitchen,3.0,192.62
19340,25/08/2023,682.0,France,Apparel,1.0,44.55
9937,02/12/2024,240.0, USA ,sports,7.0,54.16
23192,20/10/2023,290.0,india, Electronics,3.0,141.71
11892,16-Jan-2024,1082.0,Canada,Home and Kitchen ,1.0,131.96
18331,25/06/2023,191.0,Canada,Home and Kitchen ,1.0,84.31
24005,13/06/2023,,U.S.A,Sports,4.0,110.7
20341,2023-11-04,417.0,India,Beauty,,15.09
24575,11/20/2024,286.0,Australia,apparel,3.0,51.53
22035,13-Sep-2024,322.0, Germany, APPAREL,6.0,90.73
13538,29/03/2023,110.0,Australia,Beauty,4.0,20.3
24763,06/26/2023,119.0,United Kingdom,beauty ,1.0,19.01
6203,15/07/2024,987.0,usa, APPAREL,6.0,128.83
14173,2024-07-28,719.0,Canada,Sports,5.0,47.92
9476,07/08/2023,1128.0,INDIA ,Sports,1.0,145.98
17440,30/03/2023,158.0,U.S.A,Home and Kitchen ,2.0,70.3
9548,2024-01-04,1168.0,germany, APPAREL,4.0,92.71
20594,2023-09-29,525.0,india,sports,3.0,96.01
7648,29-Oct-2023,849.0,France,apparel,3.0,15.37
24971,2023-10-16,744.0,france ,Beauty,2.0,54.94
15376,09-Sep-2023,903.0,INDIA ,SPORTS ,4.0,146.02
9446,15-May-2023,653.0,United Kingdom, Electronics,2.0,418.04
12797,28/02/2024,1199.0,Canada,Sports,1.0,195.33
24517,2024-11-14,952.0,india,Apparel,1.0,89.77
20415,2024-06-07,394.0,U.K.,apparel,4.0,100.91
6347,05/10/2023,934.0,France,Home & Kitchen,1.0,101.84
17490,12/20/2024,995.0, Germany,apparel,6.0,53.51
22122,2023-12-25,721.0,india,ELECTRONICS,1.0,98.45
21814,12/09/2024,257.0,australia , Books,5.0,13.37
8533,2023-03-07,224.0,FRANCE,Beauty,4.0,88.3
5739,02/16/2023,883.0,Germany, Books,3.0,11.24
20147,2024-01-01,762.0,United States, Electronics,4.0,515.46
13987,05/07/2023,26.0,INDIA , Electronics,4.0,96.14
12887,11/12/2023,962.0,UK,Beauty,1.0,
5386,19-Jun-2024,635.0,USA,apparel,7.0,38.62
23669,20/11/2023,82.0,Germany,Sports,1.0,92.84
12151,2023-01-05,1036.0,Canada,Books,1.0,12.5
16288,24-Oct-2024,206.0,australia ,beauty ,5.0,31.34
10598,04/10/2023,1164.0,Australia,Apparel,4.0,27.25
7622,2024-01-23,853.0,Australia,Books,1.0,9.34
23545,23/04/2023,902.0,canada,Sports,3.0,57.19
13761,28/05/2023,247.0,FRANCE, Electronics,1.0,105.98
15070,19-Apr-2023,1105.0,FRANCE,Books,4.0,11.25
16847,10/06/2024,281.0,United Kingdom,Sports,2.0,22.94
23582,2023-10-27,819.0,india, Books,1.0,8.12
23796,06/30/2023,57.0,Canada,apparel,5.0,87.61
13799,08/27/2024,14.0,Canada,Home and Kitchen ,2.0,15.05
7248,13/11/2023,559.0,,Books,999.0,13.35
10993,12/09/2023,460.0,germany,apparel,5.0,32.57
8722,2023-07-19,179.0,Australia,Home and Kitchen ,3.0,140.46
6714,2023-12-31,1093.0,Germany, APPAREL,3.0,18.58
